word,sentyment
abolicja,negatywny
afronт,negatywny
agresja,negatywny
anarchia,negatywny
arogancja,negatywny
autorytaryzm,negatywny
barbarzyństwo,negatywny
bandyta,negatywny
bezprawie,negatywny
bezrobocie,negatywny
bezsilność,negatywny
bieda,negatywny
blokada,negatywny
błąd,negatywny
brak,negatywny
brutalność,negatywny
chaos,negatywny
cham,negatywny
chamstwo,negatywny
choroba,negatywny
cierpienie,negatywny
cynizm,negatywny
defraudacja,negatywny
degradacja,negatywny
demagog,negatywny
demagogja,negatywny
destrukcja,negatywny
dewastacja,negatywny
dezinformacja,negatywny
długi,negatywny
dramat,negatywny
dyktatura,negatywny
dyskryminacja,negatywny
dzielenie,negatywny
egoizm,negatywny
eskalacja,negatywny
fałsz,negatywny
faszysta,negatywny
faszyzm,negatywny
fiasko,negatywny
grabież,negatywny
grożenie,negatywny
hańba,negatywny
hipokryzja,negatywny
ignorancja,negatywny
indoktrynacja,negatywny
inflacja,negatywny
izolacja,negatywny
katastrofa,negatywny
kłamca,negatywny
kłamstwo,negatywny
korupcja,negatywny
kradzież,negatywny
kres,negatywny
kryzys,negatywny
krzywda,negatywny
ksenofobia,negatywny
konflikt,negatywny
koniec,negatywny
lekceważenie,negatywny
łamanie,negatywny
manipulacja,negatywny
marnotrawstwo,negatywny
mizeria,negatywny
nacjonalizm,negatywny
nadużycie,negatywny
napięcie,negatywny
nepotyzm,negatywny
nędza,negatywny
niebezpieczeństwo,negatywny
niekompetencja,negatywny
nieodpowiedzialność,negatywny
niepowodzenie,negatywny
nieudolność,negatywny
nihilizm,negatywny
obłuda,negatywny
odrzucenie,negatywny
ograniczenie,negatywny
opresja,negatywny
osłabienie,negatywny
ostry,negatywny
panika,negatywny
patologia,negatywny
polaryzacja,negatywny
porażka,negatywny
prymitywizm,negatywny
przemoc,negatywny
propaganda,negatywny
represja,negatywny
rozkład,negatywny
ruina,negatywny
ryzyko,negatywny
sabotaż,negatywny
skandal,negatywny
schizofrenia,negatywny
stagnacja,negatywny
strach,negatywny
totalitaryzm,negatywny
tragedia,negatywny
tyrania,negatywny
ubóstwo,negatywny
upadek,negatywny
upokorzenie,negatywny
utrata,negatywny
vendetta,negatywny
wstyd,negatywny
wykluczenie,negatywny
wyzysk,negatywny
zagrożenie,negatywny
zaniedbanie,negatywny
zniszczenie,negatywny
zubożenie,negatywny
bezkarność,negatywny
bezczelność,negatywny
demoralizacja,negatywny
dezorganizacja,negatywny
dławienie,negatywny
krętactwo,negatywny
łgarstwo,negatywny
marnotrawienie,negatywny
nagonka,negatywny
niedbalstwo,negatywny
nierzetelność,negatywny
niesprawiedliwość,negatywny
obstrukcja,negatywny
odstępstwo,negatywny
oportunizm,negatywny
paraliż,negatywny
patologia,negatywny
pieniactwo,negatywny
poniżanie,negatywny
populizm,negatywny
prymityw,negatywny
rozbicie,negatywny
rozczarowanie,negatywny
strata,negatywny
szkoda,negatywny
unikanie,negatywny
wada,negatywny
zawód,negatywny
zdzierstwo,negatywny
zło,negatywny
bezwzględność,negatywny
demagogia,negatywny
ksenofob,negatywny
nieudacznik,negatywny
obstrukcjonizm,negatywny
oligarchia,negatywny
pachołek,negatywny
pazerność,negatywny
pycha,negatywny
samowola,negatywny
zapaść,negatywny
zdrada,negatywny
bezład,negatywny
hamowanie,negatywny
inwigilacja,negatywny
naciski,negatywny
nepotyzm,negatywny
oburzenie,negatywny
przemilczenie,negatywny
recesja,negatywny
regres,negatywny
rozbior,negatywny
zawłaszczanie,negatywny
bezprawny,negatywny
brutalny,negatywny
cyniczny,negatywny
fałszywy,negatywny
kłamliwy,negatywny
korupcyjny,negatywny
nieodpowiedzialny,negatywny
niekompetentny,negatywny
niesprawiedliwy,negatywny
nieetyczny,negatywny
bezwzględny,negatywny
agresywny,negatywny
bezsilny,negatywny
chaotyczny,negatywny
destrukcyjny,negatywny
dysfunkcyjny,negatywny
autorytarny,negatywny
cenzura,negatywny
krytykować,negatywny
atakować,negatywny
oskarżać,negatywny
niszczyć,negatywny
blokować,negatywny
łamać,negatywny
odmawiać,negatywny
ukrywać,negatywny
oszukiwać,negatywny
manipulować,negatywny
bezrobocie,negatywny
wykluczyć,negatywny
zniszczyć,negatywny
obalić,negatywny
bezpieczeństwo,pozytywny
bezpieczny,pozytywny
bezpieczna,pozytywny
demokratyczny,pozytywny
demokracja,pozytywny
dialog,pozytywny
dobrobyt,pozytywny
dobrostan,pozytywny
dobry,pozytywny
dobra,pozytywny
dobre,pozytywny
dobrze,pozytywny
dostęp,pozytywny
edukacja,pozytywny
efektywność,pozytywny
efektywny,pozytywny
godność,pozytywny
gospodarka,pozytywny
harmonia,pozytywny
inicjatywa,pozytywny
innowacja,pozytywny
innowacyjność,pozytywny
inwestycja,pozytywny
jedność,pozytywny
kompetencja,pozytywny
kompetentny,pozytywny
kompromis,pozytywny
konstytucja,pozytywny
konstruktywny,pozytywny
kontrola,pozytywny
kooperacja,pozytywny
kultura,pozytywny
leczenie,pozytywny
lepszy,pozytywny
lepsza,pozytywny
modernizacja,pozytywny
nadzieja,pozytywny
naprawa,pozytywny
niezależność,pozytywny
normalność,pozytywny
obywatel,pozytywny
odpowiedzialność,pozytywny
odpowiedzialny,pozytywny
ochrona,pozytywny
odbudowa,pozytywny
otwartość,pozytywny
partnerstwo,pozytywny
perspektywa,pozytywny
pluralizm,pozytywny
pomoc,pozytywny
poprawa,pozytywny
poprawić,pozytywny
porządek,pozytywny
postęp,pozytywny
porozumienie,pozytywny
praworządność,pozytywny
prawość,pozytywny
prawa,pozytywny
prawo,pozytywny
przejrzystość,pozytywny
przyjazny,pozytywny
przyjazna,pozytywny
reforma,pozytywny
rozwój,pozytywny
rozwijać,pozytywny
równość,pozytywny
równouprawnienie,pozytywny
rzeczpospolita,pozytywny
samorząd,pozytywny
siła,pozytywny
skuteczność,pozytywny
skuteczny,pozytywny
solidarność,pozytywny
spokój,pozytywny
sprawiedliwość,pozytywny
sprawiedliwy,pozytywny
sprawny,pozytywny
stabilizacja,pozytywny
stabilność,pozytywny
stabilny,pozytywny
sukces,pozytywny
szacunek,pozytywny
tolerancja,pozytywny
transparentność,pozytywny
uczciwość,pozytywny
uczciwy,pozytywny
ulepszenie,pozytywny
umowa,pozytywny
uprawa,pozytywny
uznanie,pozytywny
walka,pozytywny
wartości,pozytywny
wiedza,pozytywny
wielki,pozytywny
wielka,pozytywny
wola,pozytywny
wolność,pozytywny
współpraca,pozytywny
wsparcie,pozytywny
wzmocnienie,pozytywny
wzrost,pozytywny
zaufanie,pozytywny
zdrowie,pozytywny
zdrowy,pozytywny
zdolność,pozytywny
zgoda,pozytywny
zmiana,pozytywny
zwycięstwo,pozytywny
dobrobyt,pozytywny
kompromisowy,pozytywny
konstruktywny,pozytywny
aktywny,pozytywny
aktywność,pozytywny
ambitny,pozytywny
ambicja,pozytywny
budowanie,pozytywny
ciągłość,pozytywny
godny,pozytywny
integracja,pozytywny
jawność,pozytywny
jednoczenie,pozytywny
kompetencje,pozytywny
otwartość,pozytywny
planowanie,pozytywny
programowanie,pozytywny
profesjonalizm,pozytywny
profesjonalny,pozytywny
racjonalność,pozytywny
racjonalny,pozytywny
rozwiązanie,pozytywny
rzetelność,pozytywny
rzetelny,pozytywny
solidny,pozytywny
suwerenność,pozytywny
troska,pozytywny
umiejętność,pozytywny
wiarygodność,pozytywny
wiarygodny,pozytywny
wysiłek,pozytywny
zjednoczone,pozytywny
pomysłowy,pozytywny
rozbudowa,pozytywny
sprawowanie,pozytywny
tworzyć,pozytywny
budować,pozytywny
chronić,pozytywny
dbać,pozytywny
inwestować,pozytywny
modernizować,pozytywny
poprawiać,pozytywny
rozwijać,pozytywny
wzmacniać,pozytywny
zabezpieczać,pozytywny
demokratyzacja,pozytywny
integracyjny,pozytywny
pokojowy,pozytywny
prorozwojowy,pozytywny
proobywatelski,pozytywny
prounijny,pozytywny
